Table 8,,,,,,,,,,,
WISCONSIN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2018",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Campbell Township,"4,366",3,0,0,0,3,37,2,34,1,0
Cascade,697,0,0,0,0,0,1,0,1,0,0
Cashton,"1,103",0,0,0,0,0,1,0,1,0,0
Cedarburg,"11,469",3,0,0,0,3,54,1,53,0,0
Chenequa,597,0,0,0,0,0,3,0,3,0,0
Chetek,"2,141",2,0,1,0,1,26,2,18,6,0
Chilton,"3,798",4,0,1,0,3,11,0,10,1,0
Chippewa Falls,"14,084",26,0,11,1,14,175,20,144,11,1
Cleveland,"1,457",0,0,0,0,0,2,0,2,0,0
Clinton,"2,124",0,0,0,0,0,21,7,12,2,1
Clintonville,"4,332",7,0,3,1,3,154,15,134,5,2
Colby-Abbotsford,"4,085",6,2,0,0,4,18,2,15,1,0
Colfax,"1,142",1,0,1,0,0,11,3,7,1,0
Columbus,"5,037",19,0,7,0,12,21,1,19,1,0
Cornell,"1,412",0,0,0,0,0,35,3,30,2,1
Cottage Grove,"7,024",6,0,2,0,4,21,0,21,0,0
Crandon,"1,833",1,0,0,0,1,16,1,15,0,0
Cross Plains,"4,331",2,0,0,0,2,25,2,23,0,0
Cuba City,"2,037",0,0,0,0,0,2,0,2,0,0
Cudahy,"18,290",24,1,3,6,14,221,30,174,17,0
Cumberland,"2,112",0,0,0,0,0,0,0,0,0,0
Darlington,"2,351",10,0,0,0,10,26,2,24,0,0
Deforest,"10,557",9,0,3,0,6,98,8,85,5,0
Delafield,"7,588",3,0,0,1,2,96,6,87,3,0
Delavan2,"9,938",21,0,6,1,14,251,19,222,10,2
Delavan Town,"5,322",1,0,0,0,1,37,9,24,4,5
De Pere,"25,199",38,0,10,0,28,205,16,182,7,0
Dodgeville,"4,734",6,0,2,1,3,88,3,83,2,0
Durand,"1,805",2,0,1,0,1,2,2,0,0,0
Eagle River,"1,514",1,0,1,0,0,57,5,48,4,0
Eagle Village,"2,086",0,0,0,0,0,8,1,7,0,0
East Troy,"4,333",4,0,0,1,3,43,2,41,0,0
Eau Claire2,"68,923",199,0,58,23,118,"1,688",292,"1,332",64,7
Edgar,"1,452",0,0,0,0,0,2,1,1,0,0
Edgerton2,"5,602",2,0,0,1,1,51,7,44,0,0
Elkhart Lake,"1,022",0,0,0,0,0,9,1,8,0,0
Elkhorn,"9,934",13,0,3,1,9,113,16,93,4,0
Elk Mound,875,1,0,1,0,0,9,3,4,2,0
Ellsworth,"3,287",5,0,4,0,1,33,3,29,1,0
Elm Grove2,"6,205",3,0,2,0,1,58,1,53,4,1
Elroy,"1,355",0,0,0,0,0,6,1,5,0,0
Endeavor,460,2,0,2,0,0,1,0,1,0,0
Evansville2,"5,379",2,0,0,0,2,40,1,37,2,0
Everest Metropolitan,"17,392",19,0,7,0,12,198,20,173,5,1
Fall Creek,"1,309",0,0,0,0,0,7,0,7,0,0
Fall River,"1,703",2,0,0,0,2,0,0,0,0,0
Fennimore,"2,478",5,0,3,0,2,7,1,6,0,0
Fitchburg,"30,151",86,1,10,19,56,581,66,461,54,0
Fond du Lac,"42,777",101,4,29,14,54,"1,012",78,887,47,3
Fontana,"1,719",0,0,0,0,0,14,4,10,0,0
Fort Atkinson,"12,495",25,1,7,3,14,169,17,152,0,0
Fox Crossing,"19,323",20,0,8,1,11,189,31,138,20,0
Fox Lake2,"1,452",1,0,1,0,0,2,0,0,2,0
Fox Point,"6,671",8,0,0,1,7,68,5,50,13,0
Fox Valley Metro,"22,006",16,0,2,1,13,82,3,76,3,0
Franklin,"36,251",13,0,3,5,5,527,30,472,25,0
Frederic,"1,098",0,0,0,0,0,5,3,2,0,1
Fulton,"3,379",0,0,0,0,0,1,0,1,0,0
Galesville,"1,585",2,0,1,0,1,6,0,6,0,0
Geneva Town,"5,032",0,0,0,0,0,23,4,18,1,0
Genoa City,"3,005",2,0,0,2,0,18,2,15,1,0
Germantown,"20,014",8,0,1,2,5,422,25,391,6,1
Gillett,"1,313",4,0,0,0,4,22,2,20,0,0
Gilman,392,0,0,0,0,0,2,0,2,0,0
Glendale,"12,710",53,1,7,20,25,965,41,844,80,0
Grafton,"11,662",7,0,3,1,3,136,2,131,3,0
Grand Chute,"22,865",52,0,16,2,34,683,24,633,26,0
Grand Rapids,"7,385",2,0,1,0,1,49,12,37,0,0
Grantsburg,"1,287",0,0,0,0,0,37,1,36,0,0
Green Bay,"105,281",483,1,78,56,348,"1,798",250,"1,448",100,7
Greendale,"14,181",12,0,2,2,8,251,15,231,5,0
Greenfield,"36,850",64,0,6,16,42,898,80,772,46,1
Green Lake,925,0,0,0,0,0,13,0,13,0,0
Hales Corners,"7,640",8,0,2,0,6,97,7,87,3,0
Hammond,"1,887",1,0,1,0,0,7,0,7,0,0
Hancock,404,0,0,0,0,0,0,0,0,0,0
Hartford,"15,183",17,0,12,4,1,204,10,191,3,0
Hartford Township,"3,561",0,0,0,0,0,0,0,0,0,0
Hartland,"9,302",3,0,1,1,1,61,8,52,1,0
Hayward,"2,296",5,0,0,0,5,62,13,46,3,1
Hazel Green,"1,230",1,0,0,0,1,4,1,2,1,0
Highland,834,0,0,0,0,0,3,1,2,0,0
Hobart-Lawrence2,"14,667",7,0,4,1,2,69,31,36,2,1
Holmen,"9,993",7,0,1,0,6,69,18,50,1,0
Horicon2,"3,605",11,0,7,0,4,28,1,24,3,0
Hortonville,"2,776",1,0,0,0,1,22,1,21,0,0
Hudson,"13,848",19,0,2,1,16,383,20,349,14,0
Hurley,"1,426",1,0,0,0,1,11,0,9,2,0
Independence,"1,305",0,0,0,0,0,6,3,3,0,0
Iron Ridge,895,0,0,0,0,0,9,1,8,0,0
Iron River,"1,133",1,0,0,0,1,4,1,3,0,1
Jackson,"7,156",7,0,3,4,0,74,1,73,0,0
Janesville2,"64,471",167,1,41,28,97,"1,800",282,"1,454",64,4
Jefferson,"8,021",13,0,7,0,6,141,4,132,5,2
Juneau2,"2,662",4,0,1,0,3,28,1,27,0,0
Kaukauna,"16,172",25,0,6,0,19,135,24,104,7,0
Kenosha,"99,948",338,4,48,80,206,"1,495",248,"1,196",51,3
Kewaskum,"4,139",1,0,1,0,0,29,1,27,1,0
Kewaunee,"2,856",2,0,2,0,0,12,0,11,1,0
Kiel,"3,780",12,0,1,0,11,18,2,15,1,0
Kohler,"2,077",0,0,0,0,0,36,0,35,1,0
Kronenwetter,"7,813",10,0,4,0,6,36,12,24,0,1
La Crosse,"51,901",145,1,41,22,81,"1,924",260,"1,600",64,3
Ladysmith,"3,120",6,0,1,0,5,24,3,21,0,1
La Farge,766,1,0,0,0,1,5,1,3,1,1
Lake Delton,"3,005",17,0,5,2,10,421,8,408,5,2
Lake Geneva,"7,907",13,0,7,1,5,177,5,172,0,0
Lake Hallie,"6,742",0,0,0,0,0,260,6,245,9,0
Lake Mills,"5,925",9,0,0,0,9,14,1,13,0,0
Lancaster,"3,717",14,0,3,0,11,39,4,34,1,0
Lena,539,0,0,0,0,0,7,0,7,0,0
Linden,532,0,0,0,0,0,0,0,0,0,0
Linn Township,"2,403",1,0,0,0,1,6,0,3,3,0
Lodi,"3,058",2,0,0,0,2,7,1,5,1,0
Lomira,"2,366",3,0,1,0,2,9,0,9,0,0
Luxemburg,"2,562",0,0,0,0,0,8,0,8,0,0
Madison,"258,455","1,043",5,116,240,682,"6,722","1,061","5,129",532,16
Manawa,"1,284",8,0,4,0,4,14,2,12,0,1
Manitowoc,"32,557",71,3,6,5,57,661,103,532,26,0
Maple Bluff,"1,333",0,0,0,0,0,11,3,7,1,0
Marathon City,"1,506",1,0,0,0,1,14,3,11,0,0
Marinette,"10,561",9,0,3,2,4,182,17,160,5,0
Marion,"1,191",1,0,0,0,1,6,2,4,0,0
Markesan,"1,399",0,0,0,0,0,14,0,12,2,0
Marshall Village,"3,988",10,0,2,0,8,9,0,8,1,0
Marshfield,"18,309",12,0,9,0,3,382,31,343,8,0
Mauston,"4,390",16,0,0,0,16,34,2,29,3,0
Mayville,"4,862",3,0,1,1,1,50,4,42,4,1
McFarland,"8,544",9,0,0,1,8,82,17,59,6,0
Medford,"4,294",6,0,0,0,6,103,6,91,6,1
Menasha,"17,788",45,0,9,5,31,367,44,297,26,1
Menomonee Falls,"37,712",21,1,1,9,10,408,24,355,29,0
Menomonie,"16,450",28,1,6,1,20,306,27,263,16,1
Mequon,"24,311",5,0,0,1,4,241,34,192,15,0
Merrill,"9,091",19,0,3,1,15,139,15,120,4,2
Middleton,"19,970",52,0,2,9,41,276,39,218,19,0
Milton2,"5,585",6,0,0,0,6,58,4,52,2,0
Milton Town,"3,114",0,0,0,0,0,6,1,4,1,0
Milwaukee,"595,619","8,416",99,489,"2,279","5,549","17,699","4,259","8,851","4,589",251
Mineral Point,"2,478",2,0,0,0,2,28,6,22,0,0
Minocqua,"4,380",7,0,0,0,7,33,2,31,0,0
Mishicot,"1,381",5,0,0,0,5,4,2,2,0,0
Mondovi,"2,613",1,0,1,0,0,16,3,12,1,0
Monona,"8,183",9,0,0,6,3,495,9,478,8,0
Monroe,"10,575",11,0,3,0,8,127,9,110,8,0
Montello,"1,439",1,0,0,0,1,19,2,16,1,0
Monticello,"1,204",0,0,0,0,0,1,0,1,0,0
Mosinee,"4,003",5,0,4,0,1,46,7,34,5,0
Mount Horeb,"7,462",8,0,2,0,6,71,14,57,0,1
Mount Pleasant,"26,571",23,0,3,5,15,569,70,474,25,1
Mukwonago,"8,034",6,0,2,1,3,114,9,103,2,0
Mukwonago Town,"8,146",3,0,0,0,3,7,4,3,0,0
Muscoda,"1,253",2,0,0,0,2,20,2,18,0,0
Muskego,"25,118",9,1,1,0,7,143,14,124,5,0
Neillsville,"2,410",2,0,1,0,1,35,3,26,6,0
Nekoosa,"2,408",0,0,0,0,0,49,1,47,1,0
Neshkoro,426,0,0,0,0,0,2,0,2,0,0
New Berlin,"39,763",15,0,1,3,11,432,54,365,13,0
New Glarus,"2,148",1,0,0,0,1,21,1,19,1,1
New Holstein,"3,098",2,0,0,0,2,16,1,14,1,0
New Lisbon,"2,500",8,0,0,0,8,8,0,8,0,0
New London,"7,083",18,0,2,0,16,62,3,58,1,0
New Richmond,"9,052",18,0,0,1,17,153,9,135,9,0
Niagara,"1,543",0,0,0,0,0,14,4,9,1,0
North Fond du Lac,"5,079",9,0,1,1,7,66,8,55,3,0
North Hudson,"3,801",0,0,0,0,0,26,0,24,2,0
North Prairie,"2,236",0,0,0,0,0,4,1,3,0,0
Norwalk,628,0,0,0,0,0,1,0,1,0,0
Oak Creek,"36,643",46,0,10,11,25,739,52,662,25,0
Oconomowoc,"16,850",7,0,1,0,6,133,12,118,3,0
Oconomowoc Lake,600,0,0,0,0,0,8,0,8,0,0
Oconomowoc Town,"8,692",1,0,0,0,1,10,2,6,2,0
Oconto,"4,421",2,0,0,0,2,71,6,61,4,0
Oconto Falls,"2,810",1,0,0,0,1,34,1,30,3,0
Omro,"3,590",4,0,1,0,3,27,8,18,1,0
Onalaska,"18,841",6,0,0,0,6,415,22,386,7,0
Oregon,"10,549",4,0,1,0,3,97,14,82,1,0
Osceola,"2,500",7,0,0,1,6,19,4,15,0,0
Oshkosh,"66,736",115,1,5,17,92,"1,107",126,913,68,3
Osseo,"1,671",2,0,0,1,1,30,5,23,2,0
Oxford,599,1,0,0,0,1,9,1,8,0,0
Palmyra,"1,766",2,0,0,0,2,15,3,12,0,0
Park Falls,"2,227",7,0,0,0,7,1,0,1,0,0
Pepin,775,1,0,0,0,1,12,0,10,2,0
Peshtigo,"3,355",2,0,1,0,1,29,4,24,1,0
Pewaukee Village,"8,172",8,1,5,0,2,103,8,89,6,0
Phillips,"1,345",1,0,0,0,1,19,2,16,1,0
Pittsville,833,0,0,0,0,0,31,0,30,1,0
Platteville,"12,642",31,0,8,0,23,208,11,194,3,0
Pleasant Prairie,"20,911",36,0,22,5,9,390,29,358,3,0
Plover,"12,853",14,0,3,0,11,175,13,156,6,3
Plymouth,"8,554",10,0,5,2,3,96,8,85,3,0
Portage,"10,496",25,1,4,3,17,156,26,127,3,1
Port Edwards,"1,772",1,0,0,0,1,14,4,10,0,0
Port Washington,"11,831",19,0,6,1,12,73,5,64,4,0
Poynette,"2,489",4,0,2,0,2,8,0,8,0,0
Prairie du Chien,"5,618",9,0,4,0,5,117,7,110,0,1
Prescott,"4,273",9,0,2,0,7,24,5,11,8,0
Princeton,"1,165",1,0,1,0,0,16,1,15,0,0
Pulaski,"3,581",3,0,0,0,3,21,1,19,1,0
Racine,"77,373",435,8,54,81,292,"1,662",347,"1,196",119,16
Reedsburg,"9,518",8,0,5,0,3,125,4,118,3,0
Rhinelander,"7,535",21,0,6,0,15,192,22,168,2,0
Rib Lake,875,0,0,0,0,0,0,0,0,0,0
Rice Lake,"8,332",25,0,13,0,12,239,17,215,7,0
Richland Center,"4,968",7,0,2,0,5,58,10,46,2,0
Rio,"1,040",0,0,0,0,0,3,0,3,0,0
Ripon,"7,823",9,0,0,1,8,83,7,74,2,0
Ripon Town,"1,381",0,0,0,0,0,1,1,0,0,0
River Falls,"15,578",16,0,6,1,9,259,43,203,13,1
River Hills,"1,590",0,0,0,0,0,15,3,10,2,0
Rome Town,"2,670",2,0,0,0,2,5,0,5,0,1
Rosendale,"1,032",0,0,0,0,0,0,0,0,0,0
Rothschild,"5,334",9,0,6,0,3,44,4,40,0,0
Sauk Prairie,"4,611",1,0,0,0,1,78,1,74,3,0
Saukville,"4,415",2,0,1,0,1,50,0,50,0,0
Seymour,"3,460",5,0,0,0,5,29,1,26,2,0
Sharon,"1,572",0,0,0,0,0,3,0,3,0,0
Shawano,"8,936",34,0,2,2,30,300,31,256,13,1
Sheboygan,"48,195",183,0,27,10,146,826,89,715,22,8
Sheboygan Falls,"7,945",2,0,1,0,1,77,8,67,2,0
Shiocton,920,0,0,0,0,0,15,0,15,0,0
Shorewood,"13,368",18,0,0,6,12,374,12,331,31,0
Shorewood Hills,"2,101",2,0,0,1,1,42,2,36,4,0
Shullsburg,"1,203",1,0,1,0,0,19,2,17,0,0
Siren,773,2,0,0,0,2,45,10,34,1,1
Slinger,"5,476",10,0,3,3,4,52,5,43,4,0
South Milwaukee,"20,972",35,0,5,8,22,366,28,320,18,1
Sparta,"9,681",20,0,9,2,9,100,16,81,3,0
Spencer,"1,908",4,0,2,0,2,3,1,2,0,0
Spooner,"2,583",13,0,3,0,10,30,3,27,0,0
Spring Green,"1,641",0,0,0,0,0,4,1,3,0,0
Spring Valley,"1,374",0,0,0,0,0,0,0,0,0,0
St. Croix Falls,"2,036",4,0,0,0,4,112,6,97,9,0
Stevens Point,"26,233",40,0,4,4,32,392,41,341,10,3
St. Francis,"9,459",14,0,1,3,10,115,15,94,6,0
Stoughton,"13,149",22,0,1,2,19,238,16,216,6,0
Strum,"1,094",0,0,0,0,0,4,2,2,0,0
Sturgeon Bay,"8,889",6,1,2,0,3,78,7,70,1,1
Sturtevant,"6,966",3,0,0,0,3,42,8,31,3,0
Summit,"4,947",6,0,1,0,5,35,5,28,2,0
Sun Prairie,"33,390",27,0,4,7,16,676,62,570,44,4
Superior,"26,054",76,0,11,16,49,"1,114",150,882,82,0
Theresa,"1,206",2,0,0,0,2,12,0,12,0,0
Thiensville,"3,137",0,0,0,0,0,14,1,12,1,0
Three Lakes,"2,088",3,0,0,0,3,26,9,17,0,0
Tomah,"9,394",13,0,1,0,12,213,10,199,4,1
Tomahawk,"3,147",1,0,1,0,0,62,11,50,1,0
Town of East Troy,"4,058",2,0,1,0,1,11,4,7,0,0
Town of Madison,"6,942",50,0,4,9,37,148,29,93,26,0
Trempealeau,"1,645",0,0,0,0,0,7,4,3,0,0
Twin Lakes,"6,077",6,0,1,0,5,25,6,17,2,0
Two Rivers,"11,077",36,0,1,1,34,136,19,110,7,2
Verona,"13,490",19,0,7,1,11,207,30,166,11,1
Viroqua,"4,461",6,0,2,0,4,63,13,48,2,0
Walworth,"2,849",1,0,0,0,1,19,2,17,0,0
Washburn,"2,039",6,0,1,0,5,16,1,12,3,0
Waterloo,"3,337",8,0,3,0,5,24,1,23,0,0
Watertown,"23,628",46,0,11,4,31,220,30,185,5,0
Waukesha,"72,672",92,2,37,13,40,750,83,618,49,1
Waunakee,"14,000",20,1,4,0,15,92,28,55,9,0
Waupaca,"5,859",14,0,4,1,9,189,12,174,3,0
Waupun,"11,260",12,0,7,0,5,92,13,75,4,0
Wausau,"38,682",119,1,21,11,86,626,94,491,41,1
Wautoma,"2,130",3,0,1,0,2,127,5,121,1,0
Wauwatosa2,"48,562",55,3,6,34,12,"1,249",123,"1,008",118,2
Webster,619,1,0,1,0,0,9,1,8,0,0
West Allis,"59,887",195,1,31,84,79,"1,673",258,"1,292",123,6
West Bend2,"31,651",56,0,7,4,45,528,29,485,14,0
Westby,"2,255",4,0,0,0,4,34,2,31,1,0
Westfield,"1,244",0,0,0,0,0,12,1,11,0,0
West Milwaukee,"4,152",51,0,2,25,24,434,22,376,36,0
West Salem,"5,055",5,0,1,0,4,21,3,17,1,0
Whitefish Bay,"13,933",10,0,3,3,4,191,24,139,28,0
Whitehall,"1,582",1,0,1,0,0,15,1,14,0,0
Whitewater,"14,561",24,0,8,3,13,104,20,74,10,0
Wild Rose,700,0,0,0,0,0,1,0,1,0,0
Williams Bay,"2,600",0,0,0,0,0,11,1,10,0,0
Wilton,498,0,0,0,0,0,2,0,2,0,0
Wind Point,"1,705",0,0,0,0,0,4,2,2,0,0
Winneconne,"2,429",1,0,0,0,1,20,0,20,0,0
Wisconsin Dells,"3,018",10,0,4,0,6,146,9,131,6,0
Wisconsin Rapids,"17,725",27,2,12,2,11,599,54,518,27,4
Woodruff,"1,952",1,0,0,0,1,8,0,8,0,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
"2 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,
