"Area","Year","Period","Period Value","Unemployment Rate","Adjusted","Preliminary","Benchmark"
"Adams County","2015","June","201506","7","0","0","2021"
"Adams County","2015","May","201505","6.50","0","0","2021"
"Adams County","2015","April","201504","6.80","0","0","2021"
"Adams County","2015","March","201503","9.10","0","0","2021"
"Adams County","2015","February","201502","9.70","0","0","2021"
"Adams County","2015","January","201501","9.30","0","0","2021"
"Adams County","2014","December","201412","8.40","0","0","2021"
"Adams County","2014","November","201411","7.20","0","0","2021"
"Adams County","2014","October","201410","6.40","0","0","2021"
"Adams County","2014","September","201409","6.80","0","0","2021"
"Adams County","2014","August","201408","7.50","0","0","2021"
"Adams County","2014","July","201407","7.70","0","0","2021"
"Adams County","2014","June","201406","8.10","0","0","2021"
"Adams County","2014","May","201405","8.10","0","0","2021"
"Adams County","2014","April","201404","9.30","0","0","2021"
"Adams County","2014","March","201403","11.60","0","0","2021"
"Adams County","2014","February","201402","12.10","0","0","2021"
"Adams County","2014","January","201401","11.40","0","0","2021"
"Adams County","2013","December","201312","11","0","0","2021"
"Adams County","2013","November","201311","10.50","0","0","2021"
"Adams County","2013","October","201310","9.10","0","0","2021"
"Adams County","2013","September","201309","9","0","0","2021"
"Adams County","2013","August","201308","9.20","0","0","2021"
"Adams County","2013","July","201307","9.60","0","0","2021"
"Adams County","2013","June","201306","10.50","0","0","2021"
"Adams County","2013","May","201305","9.80","0","0","2021"
"Adams County","2013","April","201304","11.60","0","0","2021"
"Adams County","2013","March","201303","12.60","0","0","2021"
"Adams County","2013","February","201302","13.50","0","0","2021"
"Adams County","2013","January","201301","13.60","0","0","2021"
"Adams County","2012","December","201212","11.40","0","0","2021"
"Adams County","2012","November","201211","10.30","0","0","2021"
"Adams County","2012","October","201210","9.10","0","0","2021"
"Adams County","2012","September","201209","8.90","0","0","2021"
"Adams County","2012","August","201208","9.60","0","0","2021"
"Adams County","2012","July","201207","10.20","0","0","2021"
"Adams County","2012","June","201206","10.50","0","0","2021"
"Adams County","2012","May","201205","10","0","0","2021"
"Adams County","2012","April","201204","10.30","0","0","2021"
"Adams County","2012","March","201203","12.30","0","0","2021"
"Adams County","2012","February","201202","13.50","0","0","2021"
"Adams County","2012","January","201201","13","0","0","2021"
"Adams County","2011","December","201112","11.50","0","0","2021"
"Adams County","2011","November","201111","10.60","0","0","2021"
"Adams County","2011","October","201110","9.60","0","0","2021"
"Adams County","2011","September","201109","9.60","0","0","2021"
"Adams County","2011","August","201108","10.20","0","0","2021"
"Adams County","2011","July","201107","10.70","0","0","2021"
"Adams County","2011","June","201106","11.30","0","0","2021"
"Adams County","2011","May","201105","10.70","0","0","2021"
"Adams County","2011","April","201104","11.60","0","0","2021"
"Adams County","2011","March","201103","13.70","0","0","2021"
"Adams County","2011","February","201102","14.20","0","0","2021"
"Adams County","2011","January","201101","14.20","0","0","2021"
"Adams County","2010","December","201012","12.70","0","0","2021"
"Adams County","2010","November","201011","11.80","0","0","2021"
"Adams County","2010","October","201010","10.10","0","0","2021"
"Adams County","2010","September","201009","9.60","0","0","2021"
"Adams County","2010","August","201008","10.40","0","0","2021"
"Adams County","2010","July","201007","10.70","0","0","2021"
"Adams County","2010","June","201006","11","0","0","2021"
"Adams County","2010","May","201005","11.10","0","0","2021"
"Adams County","2010","April","201004","12.30","0","0","2021"
"Adams County","2010","March","201003","15.30","0","0","2021"
"Adams County","2010","February","201002","15.90","0","0","2021"
"Adams County","2010","January","201001","15.50","0","0","2021"
"Ashland County","2022","July","202207","4.40","0","1","2021"
"Ashland County","2022","June","202206","4.50","0","0","2021"
"Ashland County","2022","May","202205","4","0","0","2021"
"Ashland County","2022","April","202204","4.90","0","0","2021"
"Ashland County","2022","March","202203","4.60","0","0","2021"
"Ashland County","2022","February","202202","4.80","0","0","2021"
"Ashland County","2022","January","202201","4.60","0","0","2021"
"Ashland County","2021","December","202112","3.30","0","0","2021"
"Ashland County","2021","November","202111","3.30","0","0","2021"
"Ashland County","2021","October","202110","3.30","0","0","2021"
"Ashland County","2021","September","202109","3.70","0","0","2021"
"Ashland County","2021","August","202108","4.80","0","0","2021"
"Ashland County","2021","July","202107","5.10","0","0","2021"
"Ashland County","2021","June","202106","5.60","0","0","2021"
"Ashland County","2021","May","202105","5.30","0","0","2021"
"Ashland County","2021","April","202104","6.20","0","0","2021"
"Ashland County","2021","March","202103","6.40","0","0","2021"
"Ashland County","2021","February","202102","7.10","0","0","2021"
"Ashland County","2021","January","202101","6.40","0","0","2021"
"Ashland County","2020","December","202012","7","0","0","2021"
"Ashland County","2020","November","202011","6.40","0","0","2021"
"Ashland County","2020","October","202010","5.60","0","0","2021"
"Ashland County","2020","September","202009","6.20","0","0","2021"
"Ashland County","2020","August","202008","7.30","0","0","2021"
"Ashland County","2020","July","202007","9.80","0","0","2021"
"Ashland County","2020","June","202006","10.40","0","0","2021"
"Ashland County","2020","May","202005","14.40","0","0","2021"
"Ashland County","2020","April","202004","20.20","0","0","2021"
"Ashland County","2020","March","202003","5.80","0","0","2021"
"Ashland County","2020","February","202002","5","0","0","2021"
"Ashland County","2020","January","202001","4.60","0","0","2021"
"Ashland County","2019","December","201912","4.20","0","0","2021"
"Ashland County","2019","November","201911","3.90","0","0","2021"
"Ashland County","2019","October","201910","3.70","0","0","2021"
"Ashland County","2019","September","201909","3.60","0","0","2021"
"Ashland County","2019","August","201908","4.80","0","0","2021"
"Ashland County","2019","July","201907","5.30","0","0","2021"
"Ashland County","2019","June","201906","4.60","0","0","2021"
"Ashland County","2019","May","201905","4","0","0","2021"
"Ashland County","2019","April","201904","5.10","0","0","2021"
"Ashland County","2019","March","201903","5.20","0","0","2021"
"Ashland County","2019","February","201902","5.10","0","0","2021"
"Ashland County","2019","January","201901","5.20","0","0","2021"
"Ashland County","2018","December","201812","3.90","0","0","2021"
"Ashland County","2018","November","201811","3.60","0","0","2021"
"Ashland County","2018","October","201810","2.90","0","0","2021"
"Ashland County","2018","September","201809","3.20","0","0","2021"
"Ashland County","2018","August","201808","3.90","0","0","2021"
"Ashland County","2018","July","201807","4.40","0","0","2021"
"Ashland County","2018","June","201806","4.70","0","0","2021"
"Ashland County","2018","May","201805","4.20","0","0","2021"
"Ashland County","2018","April","201804","5.60","0","0","2021"
"Ashland County","2018","March","201803","5.10","0","0","2021"
"Ashland County","2018","February","201802","5.10","0","0","2021"
"Ashland County","2018","January","201801","4.20","0","0","2021"
"Ashland County","2017","December","201712","3.80","0","0","2021"
"Ashland County","2017","November","201711","3.80","0","0","2021"
"Ashland County","2017","October","201710","3.40","0","0","2021"
"Ashland County","2017","September","201709","3.60","0","0","2021"
"Ashland County","2017","August","201708","4.60","0","0","2021"
"Ashland County","2017","July","201707","4.50","0","0","2021"
"Ashland County","2017","June","201706","4.80","0","0","2021"
"Ashland County","2017","May","201705","4.10","0","0","2021"
"Ashland County","2017","April","201704","4.90","0","0","2021"
"Ashland County","2017","March","201703","5.50","0","0","2021"
"Ashland County","2017","February","201702","5.70","0","0","2021"
"Ashland County","2017","January","201701","5.70","0","0","2021"
"Ashland County","2016","December","201612","4.90","0","0","2021"
"Ashland County","2016","November","201611","4.40","0","0","2021"
"Ashland County","2016","October","201610","4","0","0","2021"
"Ashland County","2016","September","201609","4.20","0","0","2021"
"Ashland County","2016","August","201608","4.90","0","0","2021"
"Ashland County","2016","July","201607","5.10","0","0","2021"
"Ashland County","2016","June","201606","5.60","0","0","2021"
"Ashland County","2016","May","201605","4.90","0","0","2021"
"Ashland County","2016","April","201604","6.30","0","0","2021"
"Ashland County","2016","March","201603","6.70","0","0","2021"
"Ashland County","2016","February","201602","6.40","0","0","2021"
"Ashland County","2016","January","201601","6.30","0","0","2021"
"Ashland County","2015","December","201512","5.90","0","0","2021"
"Ashland County","2015","November","201511","5.50","0","0","2021"
"Ashland County","2015","October","201510","4.80","0","0","2021"
"Ashland County","2015","September","201509","4.60","0","0","2021"
"Ashland County","2015","August","201508","5.40","0","0","2021"
"Ashland County","2015","July","201507","5.80","0","0","2021"
"Ashland County","2015","June","201506","6.20","0","0","2021"
"Ashland County","2015","May","201505","6","0","0","2021"
"Ashland County","2015","April","201504","6.40","0","0","2021"
"Ashland County","2015","March","201503","7.50","0","0","2021"
"Ashland County","2015","February","201502","7.90","0","0","2021"
"Ashland County","2015","January","201501","7.40","0","0","2021"
"Ashland County","2014","December","201412","6.60","0","0","2021"
"Ashland County","2014","November","201411","6.20","0","0","2021"
"Ashland County","2014","October","201410","5.60","0","0","2021"
"Ashland County","2014","September","201409","5.60","0","0","2021"
"Ashland County","2014","August","201408","6.60","0","0","2021"
"Ashland County","2014","July","201407","7.20","0","0","2021"
"Ashland County","2014","June","201406","7.50","0","0","2021"
"Ashland County","2014","May","201405","7.60","0","0","2021"
"Ashland County","2014","April","201404","8.50","0","0","2021"
"Ashland County","2014","March","201403","9.30","0","0","2021"
"Ashland County","2014","February","201402","9.30","0","0","2021"
"Ashland County","2014","January","201401","8.80","0","0","2021"
"Ashland County","2013","December","201312","8.60","0","0","2021"
"Ashland County","2013","November","201311","8.20","0","0","2021"
"Ashland County","2013","October","201310","7.90","0","0","2021"
"Ashland County","2013","September","201309","7.30","0","0","2021"
"Ashland County","2013","August","201308","8","0","0","2021"
"Ashland County","2013","July","201307","8.60","0","0","2021"
"Ashland County","2013","June","201306","9.60","0","0","2021"
"Ashland County","2013","May","201305","9.10","0","0","2021"
"Ashland County","2013","April","201304","10.10","0","0","2021"
"Ashland County","2013","March","201303","10.40","0","0","2021"
"Ashland County","2013","February","201302","10.70","0","0","2021"
"Ashland County","2013","January","201301","10.60","0","0","2021"
"Ashland County","2012","December","201212","9.10","0","0","2021"
"Ashland County","2012","November","201211","8.20","0","0","2021"
"Ashland County","2012","October","201210","7.30","0","0","2021"
"Ashland County","2012","September","201209","7.20","0","0","2021"
"Ashland County","2012","August","201208","8.10","0","0","2021"
"Ashland County","2012","July","201207","9","0","0","2021"
"Ashland County","2012","June","201206","9.50","0","0","2021"
"Ashland County","2012","May","201205","8.80","0","0","2021"
"Ashland County","2012","April","201204","9.60","0","0","2021"
"Ashland County","2012","March","201203","11","0","0","2021"
"Ashland County","2012","February","201202","11","0","0","2021"
"Ashland County","2012","January","201201","10.80","0","0","2021"
"Ashland County","2011","December","201112","9.20","0","0","2021"
"Ashland County","2011","November","201111","8.60","0","0","2021"
"Ashland County","2011","October","201110","8","0","0","2021"
"Ashland County","2011","September","201109","8.10","0","0","2021"
"Ashland County","2011","August","201108","8.90","0","0","2021"
"Ashland County","2011","July","201107","9.50","0","0","2021"
"Ashland County","2011","June","201106","10","0","0","2021"
"Ashland County","2011","May","201105","9.80","0","0","2021"
"Ashland County","2011","April","201104","11.20","0","0","2021"
"Ashland County","2011","March","201103","11.80","0","0","2021"
"Ashland County","2011","February","201102","12","0","0","2021"
"Ashland County","2011","January","201101","11.60","0","0","2021"
"Ashland County","2010","December","201012","10.10","0","0","2021"
"Ashland County","2010","November","201011","9.60","0","0","2021"
"Ashland County","2010","October","201010","8.60","0","0","2021"
"Ashland County","2010","September","201009","8.30","0","0","2021"
"Ashland County","2010","August","201008","9.50","0","0","2021"
"Ashland County","2010","July","201007","10","0","0","2021"
"Ashland County","2010","June","201006","10.40","0","0","2021"
"Ashland County","2010","May","201005","10.90","0","0","2021"
"Ashland County","2010","April","201004","12.30","0","0","2021"
"Ashland County","2010","March","201003","13.60","0","0","2021"
"Ashland County","2010","February","201002","14","0","0","2021"
"Ashland County","2010","January","201001","13.20","0","0","2021"
"Barron County","2022","July","202207","3.10","0","1","2021"
"Barron County","2022","June","202206","3.20","0","0","2021"
"Barron County","2022","May","202205","2.90","0","0","2021"
"Barron County","2022","April","202204","3.90","0","0","2021"
"Barron County","2022","March","202203","4.20","0","0","2021"
"Barron County","2022","February","202202","4.30","0","0","2021"
"Barron County","2022","January","202201","3.90","0","0","2021"
"Barron County","2021","December","202112","2.60","0","0","2021"
"Barron County","2021","November","202111","2.30","0","0","2021"
"Barron County","2021","October","202110","2.50","0","0","2021"
"Barron County","2021","September","202109","2.80","0","0","2021"
"Barron County","2021","August","202108","3.50","0","0","2021"
"Barron County","2021","July","202107","3.60","0","0","2021"
"Barron County","2021","June","202106","4","0","0","2021"
"Barron County","2021","May","202105","3.90","0","0","2021"
"Barron County","2021","April","202104","4.50","0","0","2021"
"Barron County","2021","March","202103","5.40","0","0","2021"
"Barron County","2021","February","202102","6","0","0","2021"
"Barron County","2021","January","202101","5.30","0","0","2021"
"Barron County","2020","December","202012","5.30","0","0","2021"
"Barron County","2020","November","202011","3.90","0","0","2021"
"Barron County","2020","October","202010","3.40","0","0","2021"
"Barron County","2020","September","202009","4.10","0","0","2021"
"Barron County","2020","August","202008","4.70","0","0","2021"
"Barron County","2020","July","202007","6.10","0","0","2021"
"Barron County","2020","June","202006","6.90","0","0","2021"
"Barron County","2020","May","202005","9.50","0","0","2021"
"Barron County","2020","April","202004","15","0","0","2021"
"Barron County","2020","March","202003","5.20","0","0","2021"
"Barron County","2020","February","202002","4.80","0","0","2021"
"Barron County","2020","January","202001","4.50","0","0","2021"
"Barron County","2019","December","201912","4","0","0","2021"
"Barron County","2019","November","201911","3.10","0","0","2021"
"Barron County","2019","October","201910","2.90","0","0","2021"
"Barron County","2019","September","201909","3","0","0","2021"
"Barron County","2019","August","201908","3.20","0","0","2021"
"Barron County","2019","July","201907","3.30","0","0","2021"
"Barron County","2019","June","201906","3.60","0","0","2021"
"Barron County","2019","May","201905","3.10","0","0","2021"
"Barron County","2019","April","201904","4.20","0","0","2021"
"Barron County","2019","March","201903","5","0","0","2021"
"Barron County","2019","February","201902","5.20","0","0","2021"
"Barron County","2019","January","201901","4.70","0","0","2021"
"Barron County","2018","December","201812","3.60","0","0","2021"
"Barron County","2018","November","201811","2.70","0","0","2021"
"Barron County","2018","October","201810","2.60","0","0","2021"
"Barron County","2018","September","201809","2.60","0","0","2021"
"Barron County","2018","August","201808","2.90","0","0","2021"
"Barron County","2018","July","201807","2.90","0","0","2021"
"Barron County","2018","June","201806","3.20","0","0","2021"
"Barron County","2018","May","201805","2.80","0","0","2021"
"Barron County","2018","April","201804","3.90","0","0","2021"
"Barron County","2018","March","201803","4.30","0","0","2021"
"Barron County","2018","February","201802","4.60","0","0","2021"
"Barron County","2018","January","201801","3.90","0","0","2021"
"Barron County","2017","December","201712","3.30","0","0","2021"
"Barron County","2017","November","201711","2.80","0","0","2021"
"Barron County","2017","October","201710","2.50","0","0","2021"
"Barron County","2017","September","201709","2.70","0","0","2021"
"Barron County","2017","August","201708","3","0","0","2021"
"Barron County","2017","July","201707","3","0","0","2021"
"Barron County","2017","June","201706","3.20","0","0","2021"
"Barron County","2017","May","201705","2.90","0","0","2021"
"Barron County","2017","April","201704","3.50","0","0","2021"
"Barron County","2017","March","201703","4.50","0","0","2021"
"Barron County","2017","February","201702","5.20","0","0","2021"
"Barron County","2017","January","201701","5","0","0","2021"
"Barron County","2016","December","201612","4.10","0","0","2021"
"Barron County","2016","November","201611","3.30","0","0","2021"
"Barron County","2016","October","201610","3.40","0","0","2021"
"Barron County","2016","September","201609","3.60","0","0","2021"
"Barron County","2016","August","201608","3.80","0","0","2021"
"Barron County","2016","July","201607","3.90","0","0","2021"
"Barron County","2016","June","201606","4.20","0","0","2021"
"Barron County","2016","May","201605","3.80","0","0","2021"
"Barron County","2016","April","201604","4.80","0","0","2021"
"Barron County","2016","March","201603","6","0","0","2021"
"Barron County","2016","February","201602","6.30","0","0","2021"
"Barron County","2016","January","201601","5.90","0","0","2021"
"Barron County","2015","December","201512","5","0","0","2021"
"Barron County","2015","November","201511","4.20","0","0","2021"
"Barron County","2015","October","201510","3.90","0","0","2021"
"Barron County","2015","September","201509","3.80","0","0","2021"
"Barron County","2015","August","201508","4.20","0","0","2021"
"Barron County","2015","July","201507","4.40","0","0","2021"
"Barron County","2015","June","201506","4.80","0","0","2021"
"Barron County","2015","May","201505","4.60","0","0","2021"
"Barron County","2015","April","201504","5","0","0","2021"
"Barron County","2015","March","201503","6.20","0","0","2021"
"Barron County","2015","February","201502","6.50","0","0","2021"
"Barron County","2015","January","201501","6","0","0","2021"
"Barron County","2014","December","201412","5.10","0","0","2021"
"Barron County","2014","November","201411","4.50","0","0","2021"
"Barron County","2014","October","201410","4.20","0","0","2021"
"Barron County","2014","September","201409","4.40","0","0","2021"
"Barron County","2014","August","201408","4.80","0","0","2021"
"Barron County","2014","July","201407","5.10","0","0","2021"
"Barron County","2014","June","201406","5.40","0","0","2021"
"Barron County","2014","May","201405","5.30","0","0","2021"
"Barron County","2014","April","201404","6.40","0","0","2021"
"Barron County","2014","March","201403","7.80","0","0","2021"
"Barron County","2014","February","201402","8.20","0","0","2021"
"Barron County","2014","January","201401","7.40","0","0","2021"
"Barron County","2013","December","201312","6.80","0","0","2021"
"Barron County","2013","November","201311","6.10","0","0","2021"
"Barron County","2013","October","201310","6","0","0","2021"
"Barron County","2013","September","201309","6","0","0","2021"
"Barron County","2013","August","201308","6.40","0","0","2021"
"Barron County","2013","July","201307","7.40","0","0","2021"
"Barron County","2013","June","201306","7.30","0","0","2021"
"Barron County","2013","May","201305","6.80","0","0","2021"
"Barron County","2013","April","201304","8.40","0","0","2021"
"Barron County","2013","March","201303","9.10","0","0","2021"
"Barron County","2013","February","201302","9.70","0","0","2021"
"Barron County","2013","January","201301","9.40","0","0","2021"
"Barron County","2012","December","201212","7.90","0","0","2021"
"Barron County","2012","November","201211","7.20","0","0","2021"
"Barron County","2012","October","201210","6.40","0","0","2021"
"Barron County","2012","September","201209","6.40","0","0","2021"
"Barron County","2012","August","201208","7.20","0","0","2021"
"Barron County","2012","July","201207","7.70","0","0","2021"
"Barron County","2012","June","201206","7.90","0","0","2021"
"Barron County","2012","May","201205","7.20","0","0","2021"
"Barron County","2012","April","201204","7.60","0","0","2021"
"Barron County","2012","March","201203","9.10","0","0","2021"
"Barron County","2012","February","201202","9.60","0","0","2021"
"Barron County","2012","January","201201","9.20","0","0","2021"
"Barron County","2011","December","201112","7.80","0","0","2021"
"Barron County","2011","November","201111","6.90","0","0","2021"
"Barron County","2011","October","201110","6.90","0","0","2021"
"Barron County","2011","September","201109","7.20","0","0","2021"
"Barron County","2011","August","201108","7.60","0","0","2021"
"Barron County","2011","July","201107","8","0","0","2021"
"Barron County","2011","June","201106","8.20","0","0","2021"
"Barron County","2011","May","201105","8","0","0","2021"
"Barron County","2011","April","201104","8.80","0","0","2021"
"Barron County","2011","March","201103","9.90","0","0","2021"
"Barron County","2011","February","201102","10.20","0","0","2021"
"Barron County","2011","January","201101","9.80","0","0","2021"
"Barron County","2010","December","201012","8.50","0","0","2021"
"Barron County","2010","November","201011","7.80","0","0","2021"
"Barron County","2010","October","201010","7.20","0","0","2021"
"Barron County","2010","September","201009","7.20","0","0","2021"
"Barron County","2010","August","201008","7.70","0","0","2021"
"Barron County","2010","July","201007","8.10","0","0","2021"
"Barron County","2010","June","201006","8.50","0","0","2021"
"Barron County","2010","May","201005","8.50","0","0","2021"
"Barron County","2010","April","201004","9.70","0","0","2021"
"Barron County","2010","March","201003","11.70","0","0","2021"
"Barron County","2010","February","201002","12.40","0","0","2021"
"Barron County","2010","January","201001","11.70","0","0","2021"
"Bayfield County","2022","July","202207","5","0","1","2021"
"Bayfield County","2022","June","202206","4.90","0","0","2021"
"Bayfield County","2022","May","202205","4.90","0","0","2021"
"Bayfield County","2022","April","202204","6.70","0","0","2021"
"Bayfield County","2022","March","202203","6.30","0","0","2021"
"Bayfield County","2022","February","202202","6.50","0","0","2021"
"Bayfield County","2022","January","202201","5.80","0","0","2021"
"Bayfield County","2021","December","202112","4.30","0","0","2021"
"Bayfield County","2021","November","202111","3.80","0","0","2021"
"Bayfield County","2021","October","202110","3.40","0","0","2021"
"Bayfield County","2021","September","202109","3.80","0","0","2021"
"Bayfield County","2021","August","202108","4.60","0","0","2021"
"Bayfield County","2021","July","202107","5.10","0","0","2021"
"Bayfield County","2021","June","202106","5.50","0","0","2021"
"Bayfield County","2021","May","202105","5.60","0","0","2021"
"Bayfield County","2021","April","202104","7.70","0","0","2021"
"Bayfield County","2021","March","202103","8.30","0","0","2021"
"Bayfield County","2021","February","202102","8.70","0","0","2021"
"Bayfield County","2021","January","202101","8.20","0","0","2021"
"Bayfield County","2020","December","202012","7.70","0","0","2021"
"Bayfield County","2020","November","202011","7.20","0","0","2021"
"Bayfield County","2020","October","202010","5.50","0","0","2021"
"Bayfield County","2020","September","202009","6","0","0","2021"
"Bayfield County","2020","August","202008","6.60","0","0","2021"
"Bayfield County","2020","July","202007","9.10","0","0","2021"
"Bayfield County","2020","June","202006","9.90","0","0","2021"
"Bayfield County","2020","May","202005","14.70","0","0","2021"
"Bayfield County","2020","April","202004","23.20","0","0","2021"
"Bayfield County","2020","March","202003","7.20","0","0","2021"
"Bayfield County","2020","February","202002","6.60","0","0","2021"
"Bayfield County","2020","January","202001","6.20","0","0","2021"
"Bayfield County","2019","December","201912","6","0","0","2021"
"Bayfield County","2019","November","201911","4.70","0","0","2021"
"Bayfield County","2019","October","201910","3.60","0","0","2021"
"Bayfield County","2019","September","201909","3.70","0","0","2021"
"Bayfield County","2019","August","201908","4.90","0","0","2021"
"Bayfield County","2019","July","201907","4.90","0","0","2021"
"Bayfield County","2019","June","201906","4.80","0","0","2021"
"Bayfield County","2019","May","201905","4.50","0","0","2021"
"Bayfield County","2019","April","201904","6.60","0","0","2021"
"Bayfield County","2019","March","201903","7.10","0","0","2021"
"Bayfield County","2019","February","201902","7","0","0","2021"
"Bayfield County","2019","January","201901","6.30","0","0","2021"
"Bayfield County","2018","December","201812","5.50","0","0","2021"
"Bayfield County","2018","November","201811","4.60","0","0","2021"
"Bayfield County","2018","October","201810","3.40","0","0","2021"
"Bayfield County","2018","September","201809","3.20","0","0","2021"
"Bayfield County","2018","August","201808","4.20","0","0","2021"
"Bayfield County","2018","July","201807","4.10","0","0","2021"
"Bayfield County","2018","June","201806","4.30","0","0","2021"
"Bayfield County","2018","May","201805","4.20","0","0","2021"
"Bayfield County","2018","April","201804","6.40","0","0","2021"
"Bayfield County","2018","March","201803","6.40","0","0","2021"
"Bayfield County","2018","February","201802","6.30","0","0","2021"
"Bayfield County","2018","January","201801","5.50","0","0","2021"
"Bayfield County","2017","December","201712","5.20","0","0","2021"
"Bayfield County","2017","November","201711","4.40","0","0","2021"
"Bayfield County","2017","October","201710","3.40","0","0","2021"
"Bayfield County","2017","September","201709","3.60","0","0","2021"
"Bayfield County","2017","August","201708","4.60","0","0","2021"
"Bayfield County","2017","July","201707","4.30","0","0","2021"
"Bayfield County","2017","June","201706","4.60","0","0","2021"
"Bayfield County","2017","May","201705","4.30","0","0","2021"
"Bayfield County","2017","April","201704","6","0","0","2021"
"Bayfield County","2017","March","201703","7","0","0","2021"
"Bayfield County","2017","February","201702","7.40","0","0","2021"
"Bayfield County","2017","January","201701","7.30","0","0","2021"
"Bayfield County","2016","December","201612","6.70","0","0","2021"
"Bayfield County","2016","November","201611","5.70","0","0","2021"
"Bayfield County","2016","October","201610","4.80","0","0","2021"
"Bayfield County","2016","September","201609","5","0","0","2021"
"Bayfield County","2016","August","201608","5.70","0","0","2021"
"Bayfield County","2016","July","201607","5.60","0","0","2021"
"Bayfield County","2016","June","201606","6.40","0","0","2021"
